timestamp_s,x,y,z,qx,qy,qz,qw
1773244211.039272,0.000028,-0.000036,0.139794,-0.000134,0.000009,0.000012,1.000000
1773244211.072586,0.000028,-0.000036,0.139794,-0.000134,0.000009,0.000012,1.000000
1773244211.106799,0.000064,-0.000020,0.139661,0.000288,0.000015,-0.000017,1.000000
1773244211.139163,0.000049,0.000010,0.139677,-0.000143,0.000011,0.000013,1.000000
1773244211.173985,0.000065,-0.000052,0.139753,0.000015,0.000036,0.000010,1.000000
1773244211.207178,0.000130,-0.000023,0.139708,0.000665,0.000083,-0.000025,1.000000
1773244211.239186,0.000020,0.000009,0.139840,-0.000015,0.000095,0.000026,1.000000
1773244211.272553,0.000000,-0.000004,0.139482,0.000214,0.000091,0.000009,1.000000
1773244211.306996,0.000039,0.000035,0.139568,0.000490,0.000079,-0.000016,1.000000
1773244211.339163,0.000097,-0.000059,0.139670,-0.000044,0.000042,0.000016,1.000000
1773244211.374171,0.000114,-0.000041,0.139549,0.000098,0.000069,0.000010,1.000000
1773244211.406891,0.000082,0.000005,0.139722,0.001339,0.000143,-0.000064,0.999999
1773244211.439218,0.000013,-0.000028,0.139661,0.000954,0.000129,-0.000037,1.000000
1773244211.472579,-0.000087,0.000051,0.139763,0.000765,0.000148,-0.000022,1.000000
1773244211.518198,0.000029,0.000056,0.139822,0.000228,0.000090,0.000003,1.000000
1773244211.542038,0.000029,0.000056,0.139822,0.000228,0.000090,0.000003,1.000000
1773244211.573317,0.000095,-0.000100,0.139575,-0.000259,0.000059,0.000029,1.000000
1773244211.607643,-0.000042,0.000007,0.139804,-0.000139,0.000102,0.000030,1.000000
1773244211.639226,-0.000042,0.000007,0.139804,-0.000139,0.000102,0.000030,1.000000
1773244211.674377,-0.000093,0.000025,0.139830,-0.000647,0.000029,0.000053,1.000000
1773244211.707351,0.000022,-0.000004,0.139578,-0.000992,0.000012,0.000073,1.000000
1773244211.739167,0.000021,-0.000069,0.139860,-0.001099,-0.000009,0.000073,0.999999
1773244211.772467,0.000154,-0.000045,0.139729,-0.000463,0.000043,0.000043,1.000000
1773244211.808030,0.000099,-0.000024,0.139646,-0.000266,0.000040,0.000025,1.000000
1773244211.839189,0.000026,-0.000033,0.139474,-0.000429,0.000058,0.000042,1.000000
1773244211.872483,0.000009,-0.000032,0.139784,-0.000829,0.000013,0.000061,1.000000
